epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,2991.28,0.5804,0.38426,0.97132,0.97637,0.88095,0.92873,0.80277,0.68307,0.45804,1.04191,0.0002279,0.0002279,0.0002279
181,3012.89,0.59854,0.4,0.97865,0.97907,0.87505,0.93019,0.80321,0.6903,0.45771,1.05254,0.000218,0.000218,0.000218
182,3033.26,0.59041,0.39874,0.98335,0.98057,0.87075,0.9274,0.80146,0.68742,0.46321,1.04556,0.0002081,0.0002081,0.0002081
183,3051.72,0.58351,0.38958,0.97756,0.98646,0.86722,0.92901,0.80326,0.67987,0.46527,1.04769,0.0001982,0.0001982,0.0001982
184,3069.61,0.58783,0.38903,0.9807,0.98146,0.87415,0.93013,0.80804,0.67927,0.46686,1.04619,0.0001883,0.0001883,0.0001883
185,3087.05,0.57501,0.37921,0.973,0.98567,0.86565,0.93277,0.80953,0.6802,0.4584,1.03991,0.0001784,0.0001784,0.0001784
186,3104.88,0.58018,0.38761,0.97944,0.98914,0.86395,0.93211,0.80968,0.68247,0.45893,1.04308,0.0001685,0.0001685,0.0001685
187,3121.6,0.57318,0.38478,0.97555,0.98372,0.86905,0.93208,0.81202,0.67973,0.46198,1.04224,0.0001586,0.0001586,0.0001586
188,3137.83,0.5844,0.38966,0.97825,0.98979,0.86735,0.93029,0.80453,0.68738,0.47472,1.05706,0.0001487,0.0001487,0.0001487
189,3155.94,0.5665,0.38224,0.97289,0.98455,0.86692,0.93069,0.80457,0.68012,0.47954,1.05,0.0001388,0.0001388,0.0001388
190,3173.44,0.58218,0.37724,0.97874,0.98646,0.86717,0.93052,0.8055,0.68129,0.46819,1.04793,0.0001289,0.0001289,0.0001289
191,3209.58,0.59767,0.34569,0.97951,0.97002,0.88045,0.93308,0.79945,0.69212,0.46863,1.04347,0.000119,0.000119,0.000119
192,3225.62,0.58158,0.33809,0.96248,0.95593,0.88545,0.93467,0.80131,0.69461,0.46996,1.04836,0.0001091,0.0001091,0.0001091
193,3243.17,0.57974,0.34175,0.96684,0.98371,0.86565,0.9344,0.80028,0.69458,0.47179,1.04778,9.92e-05,9.92e-05,9.92e-05
194,3261.33,0.56095,0.33104,0.95633,0.98265,0.86713,0.9331,0.80333,0.68856,0.46075,1.04731,8.93e-05,8.93e-05,8.93e-05
195,3282.97,0.57222,0.33058,0.95884,0.98648,0.86395,0.93272,0.80738,0.68695,0.4658,1.04893,7.94e-05,7.94e-05,7.94e-05
196,3306,0.56639,0.32312,0.9521,0.98078,0.868,0.93535,0.80726,0.69089,0.46185,1.05525,6.95e-05,6.95e-05,6.95e-05
197,3327.6,0.56696,0.32796,0.95638,0.97894,0.86965,0.93146,0.80699,0.68764,0.4593,1.0547,5.96e-05,5.96e-05,5.96e-05
198,3347.95,0.56189,0.32077,0.95019,0.97706,0.87585,0.93371,0.80927,0.6822,0.45526,1.04954,4.97e-05,4.97e-05,4.97e-05
199,3365.74,0.55486,0.32428,0.95135,0.97985,0.87585,0.93422,0.81058,0.68328,0.4537,1.04923,3.98e-05,3.98e-05,3.98e-05
200,3387.23,0.55518,0.32149,0.95202,0.98088,0.87237,0.93447,0.8076,0.683,0.45458,1.04874,2.99e-05,2.99e-05,2.99e-05
