epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,585.37,0.86745,0.6344,1.12678,0.96211,0.86367,0.91578,0.74029,0.8214,0.57963,1.11422,0.0015941,0.0015941,0.0015941
43,599.546,0.85923,0.63393,1.11483,0.95882,0.87115,0.91792,0.74574,0.81786,0.575,1.08621,0.0015842,0.0015842,0.0015842
44,613.727,0.85246,0.62003,1.12475,0.94838,0.87484,0.92176,0.74575,0.81402,0.58358,1.0729,0.0015743,0.0015743,0.0015743
45,627.842,0.85548,0.63662,1.11802,0.94465,0.88265,0.9244,0.74523,0.82236,0.56395,1.0881,0.0015644,0.0015644,0.0015644
46,642.109,0.86074,0.63059,1.11969,0.95451,0.87585,0.92074,0.7415,0.81056,0.57932,1.09031,0.0015545,0.0015545,0.0015545
47,656.641,0.85088,0.63426,1.12088,0.93738,0.86558,0.9101,0.74133,0.78768,0.61962,1.08561,0.0015446,0.0015446,0.0015446
48,670.636,0.85192,0.62409,1.11786,0.93972,0.87487,0.92244,0.7558,0.80265,0.5825,1.08459,0.0015347,0.0015347,0.0015347
49,684.688,0.8659,0.62975,1.12712,0.9482,0.87163,0.92534,0.74986,0.80049,0.55829,1.07812,0.0015248,0.0015248,0.0015248
50,698.962,0.84685,0.6096,1.11201,0.95398,0.88145,0.92624,0.76097,0.78503,0.5558,1.07167,0.0015149,0.0015149,0.0015149
51,713.198,0.83413,0.60389,1.10942,0.95786,0.87755,0.91844,0.76069,0.79381,0.56839,1.08226,0.001505,0.001505,0.001505
52,727.34,0.8258,0.59757,1.10468,0.95323,0.87415,0.92273,0.76043,0.77737,0.56608,1.07698,0.0014951,0.0014951,0.0014951
53,741.473,0.84027,0.60862,1.12045,0.94713,0.88435,0.91246,0.73925,0.80337,0.59577,1.09253,0.0014852,0.0014852,0.0014852
54,755.56,0.83439,0.60483,1.09912,0.95979,0.87585,0.92288,0.75122,0.80373,0.56522,1.08023,0.0014753,0.0014753,0.0014753
55,769.645,0.82433,0.60843,1.09505,0.94885,0.88605,0.92252,0.76676,0.77536,0.5383,1.0716,0.0014654,0.0014654,0.0014654
56,783.842,0.80715,0.58474,1.08704,0.93546,0.89456,0.92253,0.76111,0.7701,0.53399,1.05912,0.0014555,0.0014555,0.0014555
57,797.976,0.82488,0.61072,1.10522,0.96951,0.86535,0.92955,0.76194,0.76328,0.54621,1.0655,0.0014456,0.0014456,0.0014456
58,812.524,0.82979,0.59959,1.10422,0.94601,0.89286,0.92141,0.76302,0.77199,0.54038,1.07942,0.0014357,0.0014357,0.0014357
59,826.698,0.81375,0.59339,1.10053,0.95491,0.87415,0.92005,0.76428,0.74282,0.53421,1.05278,0.0014258,0.0014258,0.0014258
60,841.199,0.8039,0.5702,1.08465,0.94882,0.88289,0.92649,0.76696,0.7804,0.57693,1.07518,0.0014159,0.0014159,0.0014159
61,855.405,0.79992,0.5772,1.0901,0.97379,0.88444,0.93073,0.76283,0.77754,0.52764,1.06111,0.001406,0.001406,0.001406
62,869.62,0.81559,0.5869,1.09882,0.95651,0.88095,0.91974,0.7609,0.78342,0.55939,1.06098,0.0013961,0.0013961,0.0013961
63,883.828,0.80064,0.58026,1.0914,0.94293,0.88435,0.9238,0.7613,0.76117,0.56501,1.06244,0.0013862,0.0013862,0.0013862
64,898.082,0.79079,0.56556,1.08115,0.95331,0.87245,0.92154,0.74626,0.82808,0.58035,1.10417,0.0013763,0.0013763,0.0013763
65,912.265,0.82787,0.59569,1.09383,0.95446,0.88095,0.92515,0.76435,0.78127,0.53545,1.07909,0.0013664,0.0013664,0.0013664
66,926.444,0.80341,0.57227,1.08608,0.96793,0.87075,0.92599,0.77149,0.74844,0.54284,1.0528,0.0013565,0.0013565,0.0013565
67,940.791,0.78066,0.56223,1.06945,0.95904,0.87605,0.92614,0.762,0.76866,0.55016,1.05951,0.0013466,0.0013466,0.0013466
68,954.971,0.77951,0.55257,1.07087,0.95396,0.88091,0.92408,0.76519,0.75179,0.53114,1.05019,0.0013367,0.0013367,0.0013367
69,969.193,0.7803,0.57022,1.08366,0.95549,0.88095,0.92442,0.76876,0.74776,0.54423,1.06413,0.0013268,0.0013268,0.0013268
70,983.313,0.78347,0.56189,1.08076,0.96795,0.87307,0.92757,0.77061,0.76495,0.53112,1.06887,0.0013169,0.0013169,0.0013169
71,997.436,0.80841,0.59574,1.09866,0.96984,0.87511,0.92297,0.76696,0.75198,0.53457,1.05632,0.001307,0.001307,0.001307
